work_location,company,job_title,skills,id
"Raoued, Ariana, Tunisia",Talan Tunisie · Full-time,consultant salesforce,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",920
"Raoued, Ariana, Tunisia",Talan Tunisie · Internship,consultant salesforce,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",921
"Délégation Manouba‬‬, Manouba, Tunisia",Talan Tunisie · Full-time,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",922
"Délégation Manouba‬‬, Manouba, Tunisia",Talan Tunisie · Internship,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",923
"Délégation Manouba‬‬, Manouba, Tunisia",La Poste Tunisienne · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",924
"Délégation Manouba‬‬, Manouba, Tunisia",AIESEC,technical lead,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",925
"Paris, Île-de-France, France",Magasin Général / Auchan Retail Store,artificial intelligence internship automation of the promotional action,"deep learning, neural networks, natural language processing, computer vision, python",926
"Ariana, Tunisia",Talan Tunisie · Full-time,web development trainee,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",928
"Nabeul, Tunisia",Talan Tunisie · Internship,full stack developer,"javascript, python, java, mysql, restful apis",930
Tunisia,Talan Tunisie · Full-time,software developer,"java, python, c++, agile methodology, software design patterns",933
Tunisia,TopNet,full stack developer,"javascript, python, java, mysql, restful apis",934
Tunisia,AIESEC,team lead manager,"product development, product strategy, market analysis, user research, roadmapping",937
"Raoued, Ariana, Tunisia",Talan Tunisie · Full-time,java software engineer,".net, c#, agile methodology, software design patterns, apis",938
"Raoued, Ariana, Tunisia",RM Architecture Office · Full-time,architect,"cloud architecture, cloud migration, cloud security, cloud storage and networking, cloud cost optimization, enterprise architecture frameworks, business process modeling, it strategy, application architecture, data architecture, aws, azure, google cloud platform, cloud computing, devops, cloud computing architecture, cloud security, cloud migration, cloud infrastructure, cloud governance",940
"Ariana Ville, Ariana, Tunisia",Talan,quality assurance automation engineer,"test automation, test planning, performance testing, agile testing, test case design",941
"Ariana Ville, Ariana, Tunisia",SERVICOM,maintenance project manager,"product development, product strategy, market analysis, user research, roadmapping",942
"Ben Arous, Tunisia",Talan Tunisie · Internship,consultant salesforce,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",945
Tunisia,Talan · Internship,full stack engineer,"javascript, python, java, mysql, restful apis",946
"Ben Arous, Tunisia",Talan Tunisie · Internship,consultant salesforce,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",947
"Asnières-sur-Seine, Île-de-France, France",Groupe Caisse des Dépôts · Permanent,consultante full stack java angular,"javascript, python, java, mysql, restful apis",948
"Asnières-sur-Seine, Île-de-France, France",Talan,software engineer intern,"java, python, c++, agile methodology, software design patterns	",949
"Manouba, Tunisia",Talan Tunisie · Internship,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",950
"Manouba, Tunisia",ATS - Digital Dev · Internship,full stack developer,"javascript, python, java, mysql, restful apis",951
"Manouba, Tunisia",TAC-TIC · Internship,web development intern,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",952
Tunisia,Manager Partner SOFTWARE (MpSOFT) · Full-time,business intelligence engenieur bi banking solution,"tableau, power bi, data warehousing, etl, business intelligence",953
Tunisia,Bourse des Valeurs Mobiliéres de Tunis BVMT,business intelligence engineer,"tableau, power bi, data warehousing, etl, business intelligence",954
"Ariana, Tunisia",Webforge Technologies · Full-time,qa engineer,"test planning, test automation, regression testing, load testing, bug tracking",956
"Ariana, Tunisia",Cloud Temple Tunisia,operating support engineer,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",957
"Ariana, Tunisia",DITRIOT Consulting,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",958
"Paris, Île-de-France, France",Talan,boss the project product owner,"product development, product strategy, market analysis, user research, roadmapping",959
"Hammamet, Nabeul, Tunisia",Talan · Full-time,mobile development engineer,"java, python, c++, agile methodology, software design patterns	",960
"Hammamet, Nabeul, Tunisia",Mobiblanc · Full-time,mobile development engineer,"java, python, c++, agile methodology, software design patterns	",961
"Île-de-France, France",Talan Tunisie · Internship,full stack software engineer,"javascript, python, java, mysql, restful apis",962
"Île-de-France, France",عرب سوفت · Internship,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",963
"Île-de-France, France",Groupe Chimique Tunisien,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",964
"Korba, Nabeul, Tunisia",Talan Tunisie · Internship,data science intern,"statistical analysis, machine learning, data visualization, python, sql, r, machine learning, data visualization, data mining, machine learning, data analysis, data visualization",965
"Ariana, Tunisia",Talan Tunisie · Internship,blockchain intern,"blockchain architecture, smart contracts, solidity, web3.js, ethereum",966
"Ariana, Tunisia",TUNISAIR · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",967
"Ariana, Tunisia",Atelier FER FORGER GÉNÉRALE · Internship,pfe designer and manufacturer,"java, python, c++, agile methodology, software design patterns	",968
"Ariana, Tunisia",TUNISAIR · Internship,industrial engineer assistant,"java, python, c++, agile methodology, software design patterns	",969
Tunisia,Talan · Full-time,oracle erp cloud technical consultant,"cloud architecture, cloud migration, cloud security, cloud storage and networking, cloud cost optimization",970
Tunisia,Attijari bank Tunisie · Internship,graduation project internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",971
Tunisia,The American University in Cairo · Internship,engineer internship,"java, python, c++, agile methodology, software design patterns	",972
Tunisia,"Faculty of Mathematical, Physical and Natural Sciences of Tunis · Internship",software developer,"java, python, c++, agile methodology, software design patterns",973
"Ariana, Ariana, Tunisia",Talan Tunisie,full stack engineer,"javascript, python, java, mysql, restful apis",974
"Lyon, Auvergne-Rhône-Alpes, France",alidade Tunisia · Internship,data analyst,"sql, excel, data analysis, data visualization, business intelligence bi, python, data warehousing, etl extract, transform, load, data modeling, data cleansing, data mining",976
"Paris, Île-de-France, France",Talan Tunisie · Full-time,net development engineer,"java, python, c++, agile methodology, software design patterns	",977
"Paris, Île-de-France, France",BH Bank,web development trainee,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",978
"Ben Arous, Tunisia",Talan Tunisie · Full-time,qa automation engineer,"java, python, c++, agile methodology, software design patterns	",979
"Ben Arous, Tunisia",Orange Tunisie,technician trainee,"python, tensorflow, pytorch, data preprocessing, model tuning",980
"Nabeul, Tunisia",Talan,consultant salesforce talend,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",981
"Nabeul, Tunisia",VEGANET,developer java java ee,".net, c#, agile methodology, software design patterns, apis",982
"Nabeul, Tunisia",VEGANET,project graduation,"java, python, c++, agile methodology, software design patterns	",983
Tunisia,Talan Tunisie · Full-time,business intelligence consultant,"tableau, power bi, data warehousing, etl, business intelligence",984
Tunisia,Talan · Full-time,consultant java,".net, c#, agile methodology, software design patterns, apis",985
Tunisia,Alliance Technologies · Internship,web development internship,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",986
Tunisia,Talan Tunisie · Internship,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",987
Tunisia,Udemy,java full stack with spring boot and angular,"javascript, python, java, mysql, restful apis",988
"Délégation Jendouba Sud, Jendouba, Tunisia",Talan Tunisie · Full-time,full stack engineer,"javascript, python, java, mysql, restful apis",989
"Délégation Jendouba Sud, Jendouba, Tunisia",Talan · Internship,fullstack engineer intern,"tcp/ip, cisco, firewalls, routing, switching",990
"Délégation Jendouba Sud, Jendouba, Tunisia",Talan · Internship,fullstack js,".net, c#, agile methodology, software design patterns, apis",991
"Ariana, Tunisia",Les Solutions Express-QC · Full-time,telemarketer,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",992
"Ariana, Tunisia",PHAROUS.com · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",993
"Ariana Ville, Ariana, Tunisia",Le Groupe La Poste,software qualification consultant and test automation at colissimo,"java, python, c++, agile methodology, software design patterns	",995
"Ariana Ville, Ariana, Tunisia",SAGEMCOM,software test engineer,"java, python, c++, agile methodology, software design patterns",996
"Paris, Île-de-France, France",Magasin Général / Auchan Retail Store,artificial intelligence internship automation of the promotional action,"deep learning, neural networks, natural language processing, computer vision, python",997
"Paris, Île-de-France, France",Enedis,product owner production,"product development, product strategy, market analysis, user research, roadmapping",998
"Paris, Île-de-France, France",Talan Tunisie · Full-time,senior test manager,"product development, product strategy, market analysis, user research, roadmapping",999
"Paris, Île-de-France, France",Sopra HR Software,human resources is consultant,"requirements gathering, process modeling, systems analysis, data mapping, user acceptance testing uat",1000
"Paris, Île-de-France, France",LMSsoftware,mobile application developer,"java, swift, react native, ios development, android development",1001
"Paris, Île-de-France, France",BIAT,foreign service,"risk management, security compliance, security governance, incident response, security architecture",1002
Tunisia,Talan · Full-time,salesforce consultant,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1003
"Bizerte, Tunisia",Talan Tunisie · Internship,trainee immersion internship in business,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1007
"Bizerte, Tunisia",LEONI Nord  · Internship,trainee initiation stage,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1008
"Ariana, Tunisia",Les Solutions Express-QC · Full-time,telemarketer,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1009
"Ariana, Tunisia",PHAROUS.com · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1010
"Ben Arous, Tunisia",Talan · Full-time,engineer studies and web and mobile development,"java, swift, react native, ios development, android development",1011
"Ben Arous, Tunisia",Velox-it,developer back end symfony php,".net, c#, agile methodology, software design patterns, apis",1012
Tunisia,Talan,net software development engineer,"java, python, c++, agile methodology, software design patterns	",1013
Tunisia,AxeFinance,net software developer,"java, python, c++, agile methodology, software design patterns",1014
Tunisia,Dot-IT,software engineering internship,"java, python, c++, agile methodology, software design patterns	",1015
Tunisia,ProxymIT,software engineering internship,"java, python, c++, agile methodology, software design patterns	",1016
"Nabeul, Tunisia",Talan Tunisie · Internship,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1017
"Nabeul, Tunisia",Talan Tunisie,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1018
"Ariana, Tunisia",Teamwill Consulting  · Internship,teamwill consulting tunisia,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1019
"Nabeul, Tunisia",Talan Tunisie · Internship,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1020
"Nabeul, Tunisia",Talan Tunisie,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1021
"Paris, Île-de-France, France",Talan,consultant qlikview qlik sense,"tableau, power bi, data warehousing, etl, business intelligence",1022
"Paris, Île-de-France, France",Qlik,qlik sense data architect,"statistical analysis, machine learning, data visualization, python, sql, r, machine learning, data visualization, data mining, machine learning, data analysis, data visualization",1023
"Paris, Île-de-France, France",Qlik,qlik sense business analyst,"tableau, power bi, data warehousing, etl, business intelligence",1024
Tunisia,Société d'Etudes et de Travaux d'Ingénierie SETTING · Internship,civil engineer,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1025
Tunisia,Union Génie Civil et Urbanisme (ISTEUB),staff communication team and event team,"cisco networking, lan/wan, firewalls, routing protocols, security",1026
Greater Toulouse Metropolitan Area,Groupe SII · Permanent,full stack consultant,"javascript, python, java, mysql, restful apis",1029
Greater Toulouse Metropolitan Area,Talan · Permanent,full stack consultant,"javascript, python, java, mysql, restful apis",1030
Greater Toulouse Metropolitan Area,DocDoku · Internship,full stack developer,"javascript, python, java, mysql, restful apis",1031
Greater Toulouse Metropolitan Area,Talan Tunisie · Internship,full stack developer,"javascript, python, java, mysql, restful apis",1032
Greater Toulouse Metropolitan Area,SQOIN · Internship,blockchain developer,"blockchain architecture, smart contracts, solidity, web3.js, ethereum",1033
Tunisia,GO GEOENGINEERING · Full-time,back end developer,"python, java, node.js, restful apis, database design",1034
Tunisia,BIAT Consulting · Internship,engineer internship,"java, python, c++, agile methodology, software design patterns	",1035
Tunisia,BH Assurance · Internship,data analyst,"sql, excel, data analysis, data visualization, business intelligence bi, python, data warehousing, etl extract, transform, load, data modeling, data cleansing, data mining",1036
Tunisia,Talan Tunisie · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1037
"Lyon, Auvergne-Rhône-Alpes, France",OMNILOG,backend java developer in furets,".net, c#, agile methodology, software design patterns, apis",1038
"Lyon, Auvergne-Rhône-Alpes, France",Talan,java java ee developer at enedis,".net, c#, agile methodology, software design patterns, apis",1039
"Lyon, Auvergne-Rhône-Alpes, France",Talan Tunisie,full stack developer,"javascript, python, java, mysql, restful apis",1040
"Lyon, Auvergne-Rhône-Alpes, France",Talan Tunisie,project graduation,"java, python, c++, agile methodology, software design patterns	",1041
"Lyon, Auvergne-Rhône-Alpes, France",Robobat Afrique Tunisie,stagiaire full stack developer,"javascript, python, java, mysql, restful apis",1042
Greater Paris Metropolitan Region,La Poste Groupe,consultant,"client management, project management, needs analysis, strategic planning, technical writing",1043
Greater Paris Metropolitan Region,Talan Tunisie · Full-time,ios engineer,"java, python, c++, agile methodology, software design patterns",1044
Greater Paris Metropolitan Region,ITGate Group,ios developer,"java, python, c++, agile methodology, software design patterns",1045
Tunisia,Oodrive · Full-time,java ee software engineer,".net, c#, agile methodology, software design patterns, apis",1046
Tunisia,Talan Tunisie,java jee angular engineer,".net, c#, agile methodology, software design patterns, apis",1047
Tunisia,Tritux,java jee angular engineer,".net, c#, agile methodology, software design patterns, apis",1048
Tunisia,2SPub,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",1049
France,Kering,automation lead,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1050
France,NearTeam · Permanent,automation engineer,"java, python, c++, agile methodology, software design patterns	",1051
France,Sopra HR Software · Permanent,automation engineer,"java, python, c++, agile methodology, software design patterns	",1052
France,Talan Tunisie,software qa test automation engineer,"java, python, c++, agile methodology, software design patterns	",1053
France,Neolians · Permanent,software qa test automation engineer,"java, python, c++, agile methodology, software design patterns	",1054
"Nabeul, Tunisia",Naxxum · Internship,immersion internship in a company,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1055
Tunisia,SEGULA Technologies · Full-time,engineering studies,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1056
Tunisia,WebGraphique · Internship,mobile developer,"java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design",1058
Tunisia,Talan Tunisie · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1059
"Le Bardo, Tunisia",IDEMIA · Full-time,external consultant salesforce,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1060
"Le Bardo, Tunisia",Talan Tunisie · Full-time,consultant salesforce,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1061
"Le Bardo, Tunisia",Ooredoo Tunisie · Full-time,external salesforce developer,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1062
"Le Bardo, Tunisia",FININFO SOLUTIONS · Full-time,salesforce developer,"java, springboot, agile methodology, software design patterns, apis",1063
"Le Bardo, Tunisia",Salesforce,industries cpq developer,"java, springboot, agile methodology, software design patterns, apis",1064
"Le Bardo, Tunisia",Salesforce,platform developer ii,"java, swift, react native, ios development, android development",1065
"Le Bardo, Tunisia",Salesforce,omnistudio developer,"java, springboot, agile methodology, software design patterns, apis",1066
Tunisia,Rotaract,fundraising assistant,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1067
Tunisia,Assurances COMAR et HAYETT · Full-time,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",1068
Tunisia,Logis · Internship,data scientist,"statistical analysis, machine learning, data visualization, python, sql, r, machine learning, data visualization, data mining, machine learning, data analysis, data visualization",1069
Tunisia,PARENIN · Internship,data analyst,"sql, excel, data analysis, data visualization, business intelligence bi, python, data warehousing, etl extract, transform, load, data modeling, data cleansing, data mining",1070
Tunisia,Talan · Internship,development internship,"java, python, c++, agile methodology, software design patterns	",1071
Tunisia,IDEE · Full-time,oracle pl sql developer,".net, c#, agile methodology, software design patterns, apis",1072
Tunisia,E-Delegation,pfe web application developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1073
Tunisia,Dot-IT,front end developer intern,"react, angular, vue.js, html, css",1074
Tunisia,Nouvelair Tunisie,it trainee,"training design, training delivery, curriculum development, instructional design, learning management systems lms",1075
"Ariana, Tunisia",Naxxum Group · Internship,full stack developer,"javascript, python, java, mysql, restful apis",1076
"Ariana, Tunisia",New Access  – an FNZ company · Internship,software engineer internship,"java, python, c++, agile methodology, software design patterns",1077
"Ariana, Tunisia",BRIGHT SOFT-SARL · Internship,project intern,"java, python, c++, agile methodology, software design patterns	",1078
"Ariana, Tunisia",DRÄXLMAIER Group · Internship,company immersion internship,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1079
"Ariana, Tunisia",Tunisie Télécom · Internship,technician internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1080
Tunisia,Bouygues Telecom Entreprises · Full-time,consultant senior,"cybersecurity frameworks, threat intelligence, incident response, security operations center soc, siem",1081
Tunisia,Talan Tunisie · Full-time,full stack developer,"javascript, python, java, mysql, restful apis",1082
Tunisia,ATS - Digital Dev,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1083
"Lyon, Auvergne-Rhône-Alpes, France",alidade Tunisia · Internship,data analyst,"sql, excel, data analysis, data visualization, business intelligence bi, python, data warehousing, etl extract, transform, load, data modeling, data cleansing, data mining",1084
Tunisia,L’institut Nationale de la Statistique de Tunisie(INS) · Full-time,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1085
"Esch-sur-Alzette, Luxembourg, Luxembourg",ArcelorMittal · Full-time,consultant business intelligence,"tableau, power bi, data warehousing, etl, business intelligence",1088
"Esch-sur-Alzette, Luxembourg, Luxembourg",Mantu · Internship,engineer internship,"java, python, c++, agile methodology, software design patterns	",1089
"Esch-sur-Alzette, Luxembourg, Luxembourg",Groupe HLi,engineer internship,"java, python, c++, agile methodology, software design patterns	",1090
Tunisia,Talan Consulting · Internship,engineer internship,"java, python, c++, agile methodology, software design patterns	",1091
Tunisia,Sagemcom,course development,"java, python, c++, agile methodology, software design patterns	",1092
,Cognizant · Full-time,salesforce developer,"java, springboot, agile methodology, software design patterns, apis",1093
,Talan Tunisie · Full-time,developer salesforce,"java, springboot, agile methodology, software design patterns, apis",1094
,STEPS · Full-time,engineer fullstack net core angular,"angular, agile methodology, software design patterns, apis",1095
"Ariana, Tunisia",ArabSoft,engineer intern,"tcp/ip, cisco, firewalls, routing, switching",1096
Tunisia,"Expensya - La gestion des notes de frais de demain, dès aujourd'hui !",developer full stack net angularjs xamarin stage,"javascript, python, java, mysql, restful apis",1097
Tunisia,Centre National des Technologies en Education,web developer j2ee spring stage,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1098
Tunisia,PepinoTech,trainee as software developer,"java, python, c++, agile methodology, software design patterns	",1099
Tunisia,PepinoTech,trainee as test automation developer,"java, python, c++, agile methodology, software design patterns	",1100
"La Goulette, Tunisia",Expensya · Full-time,customer integration manager,"product development, product strategy, market analysis, user research, roadmapping",1101
"La Goulette, Tunisia",ZeTeam · Full-time,project manager,"project management, agile methodologies, team leadership, budgeting, risk management",1102
"La Goulette, Tunisia",Quantylix,senior software team lead,"product development, product strategy, market analysis, user research, roadmapping",1103
Tunisia,Mozilla Corporation,representative,"sales process, product knowledge, customer relationship management crm, negotiation, presentation skills",1104
Tunisia,SCC Tunisia,it security manager,"risk management, security compliance, security governance, incident response, security architecture",1105
Tunisia,Tunisiana,consultant,"client management, project management, needs analysis, strategic planning, technical writing",1107
Tunisia,Expensya · Internship,automation intern,"linux, windows server, virtualization, network administration, backup and recovery",1108
Tunisia,NeoLedge · Internship,implementation of a decision making system,"linux, windows server, virtualization, network administration, backup and recovery",1109
Tunisia,RFC · Internship,profile prediction for hr,"test automation, test planning, performance testing, agile testing, test case design",1110
Tunisia,Educaro Tunisia · Apprenticeship,crm implementation,"java, swift, react native, ios development, android development",1111
Tunisia,Four Seasons Hotels and Resorts · Internship,information technology intern,"requirements gathering, process modeling, systems analysis, data mapping, user acceptance testing uat",1112
Greater Paris Metropolitan Region,"Expensya - La gestion des notes de frais de demain, dès aujourd'hui ! · Permanent",project director avv engineer,"java, python, c++, agile methodology, software design patterns	",1113
Greater Paris Metropolitan Region,Wavestone,apprentice consultant in digital emerging technologies,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",1114
Tunisia,ODDO BHF  · Internship,trainee in business intelligence,"tableau, power bi, data warehousing, etl, business intelligence",1115
Tunisia,IBM,big data developer mastery award,"hadoop, spark, nosql, data warehousing, data visualization",1116
Tunisia,ODDO BHF,data analyst internship,"sql, excel, data analysis, data visualization, business intelligence bi, python, data warehousing, etl extract, transform, load, data modeling, data cleansing, data mining",1117
Tunisia,Sopra HR Software,graduation internship in business intelligence,"tableau, power bi, data warehousing, etl, business intelligence",1118
Tunisia,Tunisie Télécom,web development internship,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1119
Tunisia,Finlight Research · Internship,software development intern,"java, python, c++, agile methodology, software design patterns	",1120
Tunisia,Wedoogift,web developer internship,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1121
Tunisia,Telnet,mobile and web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1122
Tunisia,ellipsistech,mobile and web developer internship,"java, swift, react native, ios development, android development",1123
Tunisia,Web Design,mobile and web developer internship,"java, swift, react native, ios development, android development",1124
"Ariana, Tunisia",HolyMowly · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1125
"Ariana, Tunisia",Rouge International · Internship,information technology intern,"requirements gathering, process modeling, systems analysis, data mapping, user acceptance testing uat",1126
"Ben Arous, Tunisia",BEN YEDDER & CO · Internship,data analyst,"sql, excel, data analysis, data visualization, business intelligence bi, python, data warehousing, etl extract, transform, load, data modeling, data cleansing, data mining",1127
"Ben Arous, Tunisia",Tunisie Télécom · Internship,test automation,"java, swift, react native, ios development, android development",1128
Tunisia,InnovAnt · Full-time,mobile application developer,"java, swift, react native, ios development, android development",1129
"Paris, Île-de-France, France",NUMERYX · Permanent,data engineer,"python, sql, big data technologies e.g. hadoop, spark, data warehousing, etl extract, transform, load, spark, kafka, big data, data pipelines, hadoop, spark, nosql, data warehousing, data visualization",1130
Tunisia,ATS - Digital Dev,human resources business partner,"tableau, power bi, data warehousing, etl, business intelligence",1131
Tunisia,Vecteur Plus,site manager,"product development, product strategy, market analysis, user research, roadmapping",1132
Tunisia,360Medlink Inc · Full-time,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",1133
Tunisia,AGENA3000 · Internship,software engineer intern,"java, python, c++, agile methodology, software design patterns	",1134
Tunisia,Expensya · Part-time,net developer,".net, c#, agile methodology, software design patterns, apis",1135
Tunisia,Société d'Etudes et de Travaux d'Ingénierie SETTING · Internship,civil engineer,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",1136
Tunisia,Union Génie Civil et Urbanisme (ISTEUB),staff communication team and event team,"cisco networking, lan/wan, firewalls, routing protocols, security",1137
Tunisia,Andex International · Full-time,full stack developer,"javascript, python, java, mysql, restful apis",1139
Tunisia,CED  · Internship,full stack developer,"javascript, python, java, mysql, restful apis",1140
Tunisia,BIAT · Internship,full stack developer,"javascript, python, java, mysql, restful apis",1141
Tunisia,Assurances Maghrebia · Internship,full stack developer,"javascript, python, java, mysql, restful apis",1142
Tunisia,MSX International · Full-time,automotive warranty consultant engineer psa project,"java, python, c++, agile methodology, software design patterns	",1143
Tunisia,Sofrecom Tunisie · Full-time,software tester,"java, python, c++, agile methodology, software design patterns",1147
Tunisia,Assist Digital · Full-time,customer service agent,"risk management, security compliance, security governance, incident response, security architecture",1148
Tunisia,1waycom · Internship,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1149
"Ariana, Tunisia",Tunivisions Foundation · Part-time,program manager,"product development, product strategy, market analysis, user research, roadmapping",1150
"Ariana, Tunisia",Dassault Systèmes,certified solidworks associate mechanical design,"test automation, test planning, performance testing, agile testing, test case design",1151
"Ariana, Ariana, Tunisia",Banque Zitouna · Internship,developer,"javascript, python, java, mysql, restful apis, html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js, java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design, python, tensorflow, pytorch, natural language processing nlp, computer vision, react, angular, vue.js, html, css, python, java, node.js, restful apis, database design, blockchain architecture, smart contracts, solidity, web3.js, ethereum, react, angular, html5, css3, cross-browser compatibility, unity, c#, game design, game physics, game engine optimization, java, python, c++, agile methodology, software design patterns, .net, c#, agile methodology, software design patterns, apis, angular, agile methodology, software design patterns, apis, java, springboot, agile methodology, software design patterns, apis",1153
"Soukra, Ariana, Tunisia",International Pixel Web,full stack web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1154
"Soukra, Ariana, Tunisia",Ozone Connect,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",1155
"Paris, Île-de-France, France",Adservio Group · Full-time,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",1156
"Paris, Île-de-France, France",WEVIOO · Full-time,front end engineer,"react, angular, vue.js, html, css",1157
"Paris, Île-de-France, France",Digital Communication,front end engineer,"react, angular, vue.js, html, css",1158
"Ariana, Ariana, Tunisia",Djagora Fablab · Internship,ux designer,"user research, wireframing, visual design, user testing, user interface design, user experience design, wireframing, prototyping, usability testing",1159
"Ariana, Tunisia",Self-employed,developer,"javascript, python, java, mysql, restful apis, html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js, java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design, python, tensorflow, pytorch, natural language processing nlp, computer vision, react, angular, vue.js, html, css, python, java, node.js, restful apis, database design, blockchain architecture, smart contracts, solidity, web3.js, ethereum, react, angular, html5, css3, cross-browser compatibility, unity, c#, game design, game physics, game engine optimization, java, python, c++, agile methodology, software design patterns, .net, c#, agile methodology, software design patterns, apis, angular, agile methodology, software design patterns, apis, java, springboot, agile methodology, software design patterns, apis",1161
France,Yanogo GmbH,xamarin mobile development engineer,"java, python, c++, agile methodology, software design patterns	",1162
